main_text,comments
이제 8개월 다 되는 미니비숑인데자기가 싼 똥을 여기저기 밟고다녀요...왜그러는지 아시는분 계실까요?😭아직 배변훈련은 70프로 정도입니다...,"['친구 강아지가 그랫던 적이 있는데 채취를 여기저기 묻히고 싶거나 놀이가 부족하거나 관심받고 싶어서 그런거 같더라구요 🤔', '얘는 바닥에 사료 먹던곳에도 싸고 그러더라고요,, 아직 어려서 그런거겠죠 ㅠㅠ 보통강쥐들은 알아서 가린다던데 ... 답변감사해요ㅠㅠ', '자기가 자기 변을 밟는건 뭔가 불안해서라고 들었던 것 같아요실외배변 하면 좋아진다고 했던 것 같기도..?', '실외배변하고오면 집에서 배변을 아무데나 싸더라고요 첩첩산중이네여ㅜㅜㅜㅠ 답변 감사해요!', '저희 강아지는 하루에 세번 나가니까 4개월 강아지인데 밖에서만 대변을 보더라구요 힘들긴한데… 집에서 어디 변이 묻었을지 불안한 것보다 나은 것 같아서 그러고 있어요..!', '에고 아직 어려서 그런것 같으니 배변훈련 열씨미 지속적으로 시켜줘보세요 잘하면 간식주고 칭찬마니 해즈고요']"
로얄캐닌에서 넘어가려고 어제 샘플사료 10개 넘게 먹여봤는데알갱이가 조금만 크다 싶으면 퉤퉤~!!연어가 들어간건 귀신같이 알고 퉤퉤~!!엄마 지갑사정 고려해주느라 비싼것도 퉤퉤~!!😆결국 아그작아그작 맛나게 씹어먹는건 밥이보약 건강한성장이랑 네추럴코어네요ㅎㅎ그런데 저는 아무리 성분비교를 해봐도 잘 모르겠더라구요.. 닭은 알러지 유발 원료라서 잘 안먹이신다고 알고있는데..고민이에요ㅠㅠ 어떤게 나을까요??ㅠㅠ,"['네츄럴코어 볼드모트사료로 너무 유명해서 정말!! 먹일게 없다!! 할때만 먹이세요🥲 하림이 백배천배 더 좋아요', '아 정말요!!???대밬ㄲㅋㄱㅋ감사해요...ㅋㅋㅋ', '볼드모트사료가 뭔지 몰라서 찾아봤네요...으흐흐', '사실 저도..폭풍검색했네요🤭', '모든 강아지들이 닭에 알러지가 있는건 아니라서요😊 토리에게 먹여보시구 알러지 반응이 없으면 먹여도 될 것 같아요ㅎㅎ', '감사합니다! 샘플사료 다 먹여보고 결정해야겠어요😊', '알갱이가 좀 큰건 가위로 잘라주면 먹더라구요...귀찮기는하지만^^;;뭐든 잘먹어주면 제일좋은데ㅠㅠ밥먹이기 정말힘들어요', '더 커서 안먹으면 힘들것 같아요ㅜㅠ 샘플사료도 퉤 뱉는걸 보니ㅋㅋ 이미 알고있었지만 한성격할 것 같더라구요ㅋㅋ 오늘 아침에도 혹시나하고 안먹었던 샘플들 한 알씩 드렸더니, 고객님께서 거부하시더라구요😅', '저희고객님도. 아직 사료투정이예요ㅋㅋ그래서 이젠 건사료포기하고요즘은 동결사료 습식사료 번갈아주고 있어요!', '감사하게도 제 지갑사정 생각해주시느라 동결사료는 퉤퉤해주시더라구요😆']"
4개월 넘은 고양이인데 놀다가 지혼자 흥분이 주체가 안돼서 막 겁나 뛰어댕기다가 막 가족들 발 물고 그러는데 다른 고양이들도 그러나요..? ,"['ㅋㅋㅋㅋㅋㅋㅋㅋ그땐 난리나요~~^^ 건강하다는 증거 아닐까요? 물 때 저는 옆에 있는 장난감으로 유도하는데 온갖 방법 다 해봐도 저는 이방법이 제일 나았어요~^^1살 넘어가면 확실히 얌전해 지니 지금 즐기셔요~ ^^', '앜ㅋㅋㅋㅋ언능 얌전해지길 바라지만... 또 나름대로 잘 지내는거라니 다행이네요ㅠㅠ 즐겨야겠어요!!', '진짜 저희 달이도 날아다녔답니다~ ㅎㅎ 대신 물때는 집사님 발목 조심요~ 상처나면 자국이 정말 오래가요~ ㅠㅠ 지금도 여기저기 잘 뛰어 다니지만 확실히 정적인 모습이 많이 보여요. 꼬물거리며 호기심 왕성했던 아깽이시절이 많이 그립네영🤣', '아구ㅠㅠㅠ 뭔가 슬프면서도 아련하네요..ㅠㅠ 울애도 클텐데 지금이 그립겠죠..ㅠ프사보니까 이쁘네요ㅎㅎ 사진이라도 많이 찍어놔야겠어요😭', '앗..저희 고양이들은 1살 넘었는데도 가끔 그러네용ㅋㅋㅋ 가만히 있다가도 갑자기 둘이 눈빛교환을 한건지 아르릉거리며 우다다하고 캣타워 끝까지 올라갔다 내려가고 그래용.. 에너지가 넘쳐흐르나봐요😂', '앜ㅋㅋㅋ눈빛교환 넘 귀엽다ㅠㅠㅠ 고양이 자체가 그러나봐요....진짜 자기도 힘들어서 개구호흡하는데도 맨날 그러네요..😂', '네..... 1살지나면 보통 괜찮아진다던데ㅋㅋㅋ 우리강이는.... 식탁에서 쇼파로 쇼파에서 캣타워로...짧지도 않은 거리인데 단 3걸음 만에 식탁에서 쇼파를 거쳐 캣타워까지 날아가요...쇼파에 앉아있는 엄마를 한번 지그시(?) ... 밟고 캣타워로 점프!!.. 가끔 쇼파에 누워있으면 놀아달라는것마냥...점프! 점프! 엄마배한번밟고 점프! 우다다다다다!!!... 진짜 억 소리나게 아품ㅠ0ㅠㅋㅋㅋㅋ', '앜ㅋㅋㅋㅋㅋㅋㅋ점프ㅠㅠㅠ진짜 고양이들은 어쩔 수 없나봐욬ㅋ큐ㅠㅠㅠ 저도 나중에는 밟히겠죠....😂😂', '캣초딩시기가 시작되었어요.무는건 이갈이 장난감이나 캣닢쿠션등을주시고,낚시대로 사냥놀이도 해주세요~😁그리고 밥먹고나서나 화장실갔다와서 우다다 시전 하는 애들도 있어요.ㅎㅎ현재는 이것저것 호기심이 왕성해서 다건드리는 시기고 점프도 엄청해요.이럴때 조심하셔야 되는게 높은데서 떨어져서 다칠수있으니 조심하세요.아직 아깽이라서 성묘되기전까진 떨어지면 낙법을 잘못해서 뼈에 금갈수도있다고해요.캣초딩시기에 깁스하는애들도있다고하니 높은곳올라가는곳이있다면 아래에 쿠션같은것도 깔아주면 좋아요.🤗', '고양이의 우다다와 점프해서 날라서 이동하는것은 나이불문 뛰어다닐 수 있다면 본능인것같아요. 지치지않아요🥲 파이팅!']"
애기가 7개월이 되어가고 안그러더니 산책맛을 알아버린건지 아빠가 나갈땐 슥처다만보고 따라가다가 다시돌아오지만 저는 옷갈아입으면 나가는줄 아는지 중문앞에 서있어요ㅋㅋㅋ 그래서 터그해주고 노즈워크해주고 관심돌려주고 소리없이 나갈라해도 어느샌가 문앞에 서있어요 그리고 들여다놓으면 짖어요;;;  아빠는 안그러는데 말이죠 저만그래요ㅠ 짖다가 조용해지기는 하는데 그래도 그시간이 안쓰러우니...  교정할 방법 없나요..?,"['저는 간식을 켄넬에 넣어주고 호다닥 나와요😂', '저는 나갈때 간식 하나 중문앞에서 주고가요ㅎㅎ지금은 나갈꺼면 간식내놓으라고 짖긴하지만...ㅠ 간식먹고나면 쓱 들어가서 다시 자더라구요😂', '노즈워크에 간식을 주고 찾는사이 슥~~나와요어쩔수없죠..-.-', '저도 간식하나 주면 먹느라 쳐다도안봐요 ㅎㅎ', '오래 먹을수있는 간식 주고나오긴해요유투브 보시면 훈련법 나오더라구요1분 나갔다오기 5분나갔다오기 10분 나갔다오기 등등 점차 시간을 늘려가면서엄마가 꼭 돌아올거라는 확신을주는 훈련법이 있어요참고해보시면 좋을듯합니다~', '나갓다가 아무렇지도 않게 들어오는걸 한 10번정도 반복하면 강아지가 안짖을때 잘햇어 라고 하고 간식 주시면 그게 점차 반복되면서 아 나가도 날 안데리고 나가는구나 라고 생각한데요', '저도 간식 주고 나가요ㅠㅠ간식 먹으랴 저 나가는거 보랴 켁켁거리면서 먹는데 그냥 나와버려요..ㅋㅌ']"
,[]
콩이가  가는 동물병원 원장님은 뭐든 안하시는걸 좋아하시는 분입니다ᆢ ㅎ말이 좀 이상하긴 한데ᆢ약도 최대한 작게 먹이고ᆢ 진료도 검사 많이 안하시고ᆢ암튼 다른 분들과 제일 다른점은 심장 사상충약인데ᆢ먹이지 말라하셔요ᆢ모기랑 외부진드기에 안물리면 되는거니ᆢ 평소 산책다닐때 해충기피제 사용하고시중에 판매되는 기생충약중 내외부를 전부 100프로 잡아주는 약은 없다시며ᆢ (인터넷에 기생충약별 잡을수있는 종류 표 있어요)내부 다 잡을 수 있는 드론탈플러스만 먹이는걸 권장하십니다ᆢ것두 6개월에 한번ᆢ ㅎ다시 본론으로 와서ᆢ심장사상충약이 너무 독해 간에 무리가 많이가서 병원어 마비되어 애들이 많다느 에피소드와 함께ᆢ긴글이 적힌 사진을 보내주셨어요ᆢ 보시고 선택은 견주님들 알아서~,"['모든 예방약들이 독하죠....하지만 병에 걸리는것보단....하고 100%로는 아니라도다들 하시는거 아닐까요!?이번에 사상충약 다른걸로 바꾸고 하루종일 힘없이 있는거보니 가슴이 아푸긴하더라구요..', '의사는 아니라서 잘 모르지만 예방약 먹는거랑 진드기에 물려서 안좋은 상황이 오는거랑 선택하라면 저는 전자입니다.받아들이는건 견주님 선택이지만 반려겐이나 견주님이나 모두 행복하시기를 바랍니다', '저는 사상충은 감염되면 골 아파서 매달 챙겨주고, 진드기는 강아지가 추운 날은 안 걸으려고 해서 생략하는 편이긴해요심장사상충약은 먹였다 안 먹였다 하실거면 심장사상충 검사 후 약 먹이셔야 돼요. 감염되고 6개월 동안은 검사해도 키트에 나오지도 않아서 약 먹일때 더 조심하셔야 돼요.밀베마이신 성분 사상충약은 감염된 상태에서 먹으면 쇼크 일어나면서 사망할 수도 있거든요.', '집에 있는거 좋아하는 아이라면 저도 안 먹이겠지만 나가는 거 좋아하고 특히 풀밭 뛰뛰하는거 좋아하는 아이라… 다른 부분에서 보충하고 건강챙겨야지 예방약을 안 먹일 수가 없네요. ㅠ..ㅠ근데 선생님 진짜 양심적이다!! 울 동네 계시면 저도 가고 싶네요. ^^', '산책 안나가고 집에 모기 저얼대 안 들어오는 환경이면 안 먹여도 심장사상충에 걸리지 않겠죠ㅎㅎ예방 가능한 질병을 굳이 두고 보다가 진짜 걸리면 치료하는 상황을 만들고싶지 않아요. 그 의사는 어느 모기가 심장사상충을 옮길지 가릴수 있으실까요🥺 정말 선택은 견주몫! 이건 제 생각일뿐입니다:)그리고 진드기 안물리면 된다😂 해충기피제 몇 개를 뿌려도 빗질하면 한 두마리가 꼭 나오더라구요. 풀밭 너무 사랑하는 아이들이라서요. 내가 안물리고 싶다고 안 물릴수있는것일까 생각해봐야하는 부분이에요.물려서 또는 감염되서 아프다고 말 못하는 아이들이기에..', '저는 코로나백신같은거라고 생각합니다~사상충약을 먹이든 발라주든 주사를 맞히든  하나만 우리가 해줄수있는거 한달에 한번씩 해주면 될거같아요~~해주고나서 전염되는거랑 안해주고 전염되는거랑은 극과극이니까요ㅎㅎㅎ저희가 다니는곳은 나중에 전염되면 돈 더 많이 든다고 모기없다고 건너뛰고 그러면 안된다고 간호사한테두 들었어용~병원에서 접종까지 안해주려하시다니 예상외네유~영양제같은건 효과없다하셔두 접종은 그런말 안하시든댕 하핳..수의사들도 의견이 다 다르니까 존중합니당💟', '꼬박 꼬박 약을 먹이는 보호자라생각이 많아지네요🤔 뭐가 댕이에게 좋은 걸까..', '저도 고양이 사상충약에 대해 많이 찾아봤는데 수의사님 별로 말이 조금씩 다르긴 하더라구요~ 고양이는 강아지랑 달리 실내생활을 하는 아이이니 모기가 없는 겨울에는 필요없다라는 의견과 고양이는 강아지보다 사상충에 걸렸을때 더 치명적이니 겨울까지 발라야한다라는 의견으로 갈렸는데.. 결국 강아지든 고양이든 선택은 보호자 몫인것 같아요. 전 한겨울은 건너뛰고 바르려구요. 약이 독하기도 하고, 실내생활하는 고양이에게 한겨울까지 사상충약을 하는건 별 소용도 없을것 같아서요', '심장사상충 약이 독하긴 하죠~ㅠㅠ 하지만  정말 운 나쁘게 사상충에 걸리면 넘 치명적이라 위험해질 수 있으니 예방차원이라. 전 하는게 낫다는 생각이 들어요ㅠㅠ 단, 11월에서 3월까지는 다니는 병원에서도 건너띄라 하셨고 그래서 저는 5월부터 해줘요~ 분기별로 한 번씩 해줄 수 있는거면 좋으련만 모기는 엘베타고도 올라오는 녀석들이라~ ㅠㅠ 방지한다고 해도 한 두마리씩 보이더라고요~ ㅠㅠ', '약이 독하긴하지만....공감은 안되네요사상충은 쉽게 감영되고 회복은 오래걸리고 치명적이니예방하는게 좋다에 한표입니다~~']"
에이블리나 지그제그에 강아지자외선 차단 고글 추천하는 거있으면링크 좀 주세용,"['https://m.a-bly.com/goods/5860688차단 된다고는 나오는데 중국산이라 그런가 몇 %까지 차단 되는지는 안 나오네요', '저도 사용하고 싶은데 물만두가 허용을 안할거 같아서 슬저요', '저도 사용하고싶은데머리가 작아서 맞는게 있으려나 몰라용모자도 가끔 쓰고 외출한답니다', '저는 아예 펀딩으로 눈돌렸습니다댕스아이 제품 기다리는 중인데 찾아보니 일반 판매하는 제품도 있네요', '저도 사고싶은데 얼굴에 끼는것도 싫어해서 모자써요ㅎㅎ']"
"안녕하세용 저희 아이가 2.9키로 나가는 소형견인데 이번에 저와 첫여행을 가요 ! 자가용이 없어서 기차랑 대중교통을 이용해야 해서 ㅜㅜ 신중하게 이동가방을 알아보고 있는데요! 저희 아이는 저와 붙어있는 걸 좋아하고 더위를 많이 타요 슬개골도 안좋구요 ㅠㅠ 사진은 지금까지 알아본 모드니펫 클라우드슬링백, 감탄사각슬링백, 펫츠랜드 스너그백, 쏘오옥 슬링백인데쏘오옥은 사실 금전적인 여유가 없어서 못 살 것 같구요 ㅠㅠ 다른 세가지 중이나 다른 슬링백 추천해주시면 너무 감사하겠습니다🥹🥹❤ ","['2번째 투표했어요^^', '감사합니다 ! :)', '마이플러피도 많이 쓰시더라구여근데 쏘오옥이 젤 튼튼해 보이긴 하네여🥲', '아하 마이플러피! 정보 감사합니다 그러니까요 .. ㅠㅠ 괜히 속상하네요..🥲', 'https://msbg.page.link/ABTgwogPsvATTbju5깨알 홍보 합니다 주문하시면제가 온 정성을 담아 직접 포장해드리겠습니다 \U0001fae1', '30프로 할인이 더 와닿을꺼 같은데요.. MZ세대님..https://msbg.page.link/hXfmuSp6V9XHrbYS6', '헐 요건 몰랐네요 저보다 낫네요 ㅋㅋ', '앜ㅋㅋ 감사합니다아 ☺', '위고노 크림색 갖고싶어서째려보고 있는중이랍니다', '지금은 기다릴때가 아니라 행동할 때입니다 ㅋㅋㅋ']"
시골 강아지가 지금 4~5살인데 떠돌이 개들땜에 벌써 세번째 새끼를 낳았어요. 빨리 중성화를 해주고 싶은데 몇개월부터 가능한가요?,"['영자 출산하면서 바로 중성화 같이했어요!!!', '정보 감사합니다!', '자연분만을 했다면 최소 2달은 기다리시는게 좋아요 !! 아가들을 품느라 커진 자궁과 망가진 자궁 내벽을 다시 수축으로 되돌리는데 꽤 오랜 시간이 걸려요 ! 이건 개바개니까 최소 2개월 후 초음파나 X-ray로 자궁 상태를 확인하고 중성화 날짜 잡는게 좋으실거같아요 ! 아가들 순산, 축하드립니다 😽', '검진 포함해서 병원을 두번은 가본다 생각해야겠네요... 시골이 너무 멀어서 계속 시기를 놓쳤는데 이번엔 꼭 중성화 시키려고요. 감사합니다ㅎㅎ', '마당개중성화사업 이라는게있어요. 지자체마다 다른데 시골이라면 해당지역 기사를 한번찾아보세요. 지원금이 니와요.예시  http://m.ksmnews.co.kr/view.php?idx=424630', '아쉽게도 해당되는 지역이 아니네요ㅠ 그래도 좋은 정보 감사합니다:)', '저도 얼마전 임신한 고양이 보고 궁금했는데 역시 바로는 안되는군요~ ㅠㅠ 근데 중성화 기다리다가 또 임신 할까봐~ ㅠㅠ 걱정이긴 해요~ 아직 아가 같은데 배가 불룩 하더라고요~ ㅠㅠ', '']"
강아지 집에와서 평소 생활할때 불을 꺼놓는게 좋나요? 얘가 하루에 많이자니까 불을 꺼놓는게 좋을거같아서 계속 꺼놧거든용 근데 너무 밤엔 어두워서 🥹 무드등은 없어서 임시로 컴퓨터라도 켜놓을까요??,"['강쥐는 불빛이없어도 보인다구 하드라고요~ 저희집도 분리 수면 하는데 거실에 불끄고 자러 들어오면 혼자 한참을 잘 놀다가 자요🤭 걱정 안하셔도 될거같아요', '아 어두워도 보이는군요!! 감사합니다 전 제 방에서 저도 같이 암흑생활해요 핸드폰 불빛의존하고 걸어다녀요 ㅋㅋㅋㅎㅎ😶\u200d🌫️😶\u200d🌫️', '헝....저도 같은 타입인데 불끄고 한발 딛을때.. 아기 발꼬락 밟은적 있어서 폰 후레쉬 키고 방가서 꺼요😢 혹시라도.. 아기 다치지말라구 알려드려요🤣', '앟 방안에 울타리 설치해놔서 안에있어용ㅎㅎ 아이 걱정감사해요 😍😍', '불꺼놓아도  배변판있는 방까지 볼일보러 잘다니더라구요^^', '안보여소 막 허둥지둥 할까봑 걱정햇더니 다 보이는군요!! 프로필 사진 너무 귀여워요 🤩', '이와중에 뒷태 쏘큐트하네요,,,🥰', '앜 ㅠㅠㅠ 너무 이뻐하면 안된다해서 무관심 해야하는데 못참아요 매번😭', '간접등이 베스트에요', '무드등 하나 장만해야갰어요 😋 감사합니당']"
